Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
306,269,52,116,CSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecom Operator (C),Sugon,China,2018,Others,"97,920",,"1,736.00","7,206.91","6,750,000",,,"1,000.00",Submitted,1.74,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,783",179538
307,270,52,117,Q1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"32,400",,"1,735.66","2,799.36","4,156,992",,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179578
308,272,51,95,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,"38,400",,"1,729.00","3,072.00","8,122,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",CentOS,Linux,None,24,Xeon Platinum,Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,596",179371
309,273,51,96,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,"38,400",,"1,729.00","3,072.00","8,122,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",CentOS,Linux,None,24,Xeon Platinum,Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,596",179372
310,274,51,97,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,"38,400",,"1,729.00","3,072.00","8,122,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",CentOS,Linux,None,24,Xeon Platinum,Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,596",179373
311,275,51,188,Internet Company T DD1,"Lenovo RD350, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Service Provider T,Lenovo,China,2018,Industry,"118,400",,"1,728.88","3,978.24","9,732,480",,,,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,"2,100",Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Lenovo RD350,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179354
312,276,54,229,,"Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR",Manufacturing Company B,Huawei,Germany,2019,Industry,"38,400",,"1,724.45","3,440.64","4,224,000",,,654.60,Submitted,2.63,Cluster,Xeon Gold 6242 16C 2.8GHz,Intel Cascade lake,"2,800",Linux,Linux,None,16,Xeon Gold 62xx (Cascade Lake),Huawei X6000,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,690",179727
313,278,55,278,,"PRIMERGY CX2550 M4, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path","Meteorological Research Institute, Japan Meteorological Agency",Fujitsu,Japan,2020,Research,"35,200",,"1,715.81","2,816.00","4,205,758",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"48,358",179846
314,279,49,68,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100",Internet Service A,Inspur,China,2017,Industry,"39,680","34,720","1,714.00","3,149.60","1,460,000",,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,"2,500",CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,596",179118
315,280,53,166,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2019,Academic,"40,000",,"1,706.73","2,688.00","4,462,464",,,585.00,Submitted,2.92,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,"2,100",bullx SCS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"47,508",179601
316,281,52,124,P1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"31,680",,"1,703.51","2,737.15","4,110,528",,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179579
317,282,45,33,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,HPE,United States,2015,Government,"57,600",,"1,703.28","2,304.00","3,450,432",,,"2,880.00",Submitted,0.59,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,"50,046",178533
318,283,52,126,AFI-NITY,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","Tohoku University, Institute of Fluid Science",Fujitsu,Japan,2018,Academic,"35,200",,"1,691.00","2,703.36","2,670,000",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"48,977",179561
319,284,52,127,TaiYi,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Southern University of Science and Technology,Lenovo,China,2018,Academic,"32,400",,"1,686.54","2,488.32","3,668,352",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Asia,"50,793",179572
320,285,52,128,,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Government,Lenovo,China,2018,Government,"35,200",,"1,684.19","2,703.36","4,110,528",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179498
321,392,54,345,,"ThinkSystem SD650, Xeon Gold 6240 18C 2.6GHz, Infiniband EDR",Beijing Meteorological Association,Lenovo,China,2019,Research,"28,800",,"1,683.37","2,695.68","6,144,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,None,18,Xeon Gold 62xx (Cascade Lake),ThinkSystem SD650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,816",179758
322,286,52,129,ISystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",IIT Company,Sugon,China,2018,Industry,"97,920",,"1,683.00","3,446.78","6,750,000",,,"1,050.00",Submitted,1.60,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,786",179541
323,287,54,240,Internet Service D,"Huawei 1288H V5, Xeon Platinum 8160 24C 2.1GHz, Infiniband EDR",Internet Service J,Huawei,China,2019,Others,"48,960",,"1,671.37","3,290.11","3,840,000",,,524.28,Submitted,3.19,Cluster,Xeon Platinum 8160 24C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,None,24,Xeon Platinum,Huawei 1288H V5,Huawei Cluster,Infiniband,Infiniband EDR,Asia,"50,776",179726
324,288,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,"55,728","2,160","1,670.09","2,348.64","5,439,592",,39.94,807.60,Submitted,2.07,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Europe,"47,634",178534
325,289,52,132,O1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"30,960",,"1,668.16","2,674.94","4,063,488",,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179582
326,290,52,133,,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet",Internet Company,Lenovo,China,2018,Industry,"41,760",,"1,667.72","3,207.17","4,477,056",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179486
327,291,54,244,,"Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR",Pukou Advanced Computing Center,Sugon,China,2019,Industry,"100,800","89,600","1,661.00","2,472.96","582,000",,,260.00,Submitted,6.39,Cluster,AMD Epyc 7501 32C 2GHz,AMD Zen (Naples),"2,000",CentOS,Linux,AMD Vega 20,32,AMD Naples,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband HDR,Asia,"50,818",179801
328,293,35,112,Endeavor,"Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path",Intel,Intel,United States,2011,Industry,"31,524",,"1,653.92","2,467.70","3,745,920","3,179,904",23.62,558.60,Submitted,2.96,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,"49,821",176908
329,294,51,231,Internet Company T Y1,"Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Service Provider T,Lenovo,China,2018,Industry,"89,600",,"1,653.22","3,440.64","6,399,936",,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179361
330,393,55,393,MN-3,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",Preferred Networks,Preferred Networks,Japan,2020,Industry,"1,664",128,"1,652.90","3,137.87","720,896","456,704",,65.39,Submitted,25.28,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,"2,400",Ubuntu Linux,Linux,Preferred Networks MN-Core,24,Xeon Platinum 82xx (Cascade Lake),MN-Core Server,Preferred Networks Cluster,Custom Interconnect,MN-Core DirectConnect,Asia,"50,832",179806
331,295,54,248,,"ThinkSystem SR570, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"78,400",,"1,652.49","2,759.68","7,332,096",,,,,,Cluster,Xeon E7-4850V3 14C 2.2GHz,Intel Haswell,"2,200",Linux,Linux,None,14,Intel Xeon E7 (Haswell-Ex),ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179754
332,296,51,105,Software Company (M) AA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Australia,2017,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,Oceania,"50,724",179336
333,297,52,137,Software Company (M) CA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,726",179449
334,298,52,138,Software Company (M) CA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,726",179450
335,299,52,139,Software Company (M) CA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,726",179451
336,300,54,253,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2019,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,726",179725
337,301,51,106,Software Company (M) A16,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179337
338,302,51,107,Software Company (M) A15,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179338
339,303,51,108,Software Company (M) A14,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179339
340,304,51,109,Software Company (M) A13,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179340
341,305,51,110,Software Company (M) A11,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179341
342,306,51,111,Software Company (M) A10,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179342
343,307,51,112,Software Company (M) A9,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179343
344,308,51,113,Software Company (M) A8,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179344
345,309,51,114,Software Company (M) A7,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179345
346,310,51,115,Software Company (M) A6,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179346
347,311,51,116,Software Company (M) A4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179347
348,312,51,117,Software Company (M) A3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179348
349,313,51,118,Software Company (M) A2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2017,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179349
350,314,51,119,Software Company (M) A1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2017,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179350
351,315,51,120,Software Company (M) A12,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179395
352,316,51,121,Software Company (M) A5,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179396
353,317,52,156,Software Company (M) A26,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179446
354,318,52,157,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179463
355,319,52,158,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179464
356,320,52,159,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179465
357,321,52,160,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179466
358,322,52,161,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179467
359,323,52,162,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179468
360,324,52,163,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179469
361,325,52,164,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179470
362,326,52,165,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179471
363,327,52,166,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179472
364,328,53,210,Software Company (M) A38,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68","8,586,432",,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179625
